ID,BLOCK,TREAT,Genotypes,GENOTYPE,Experiment,EMR.7DAP,EMR.9DAP,EMR.12DAP,NSTM.14DAP,HGT.16DAP,NLEAF.28DAP,NSTM.28DAP,HGT.28DAP,VGR.28DAP,DSTM.28DAP,SPAD.29DAP,HGT.41DAP,VGR.41DAP,NLEAF.41DAP,NSTM.41DAP,DSTM.42DAP,HGT.54DAP,SPAD.59DAP,HGT.70DAP,VGR.75DAP,STRS.75DAP,SPAD.76DAP,DSTEM.76DAP,STRS.83DAP,PRCT.83DAP,SPAD.83DAP,DSTM.84DAP,RWC.84DAP,DRWC,OP.84DAP,HGT.86DAP,LEAFFW,LEAFDW,STEMFW,STEMDW,ROOTFW,ROOTDW,TUBFW,TUBDW,NTUB,root:shoot,TUBDM,BIOMFW,BIOMDW,HI,TDWS,TTRNS,WUE,TWUE,TWA,FTSW,LA,LAR,SLA,RLG,ROOTMS,STOLMS
793,II,drydown,7,CIP398098.119,LM06092013,1.00,1.00,1.00,5.00,26.00,35.00,4.00,60.00,1.00,0.53,51.70,104.00,5.00,60.00,5.00,5.54,136.00,44.40,143.00,3.00,3.00,49.70,4.95,7.00,7.00,42.50,4.92,53.05,,-2.73,144.00,109.97,18.03,130.15,17.02,30.27,3.71,135.86,34.89,19.00,0.87,25.68,406.25,73.65,0.47,,7.08,10.40,4.93,4.47,0.00,3235,44,179,30,7,7
794,III,drydown,7,CIP398098.119,LM06092013,1.00,1.00,1.00,4.00,22.00,36.00,4.00,56.00,3.00,0.76,52.20,99.00,5.00,47.00,4.00,7.08,134.00,44.40,150.00,3.00,3.00,45.00,6.36,7.00,7.00,44.90,5.90,59.01,,-2.87,148.00,115.25,17.31,142.44,16.71,29.62,3.54,140.91,37.41,12.00,0.85,26.55,428.22,74.97,0.50,,6.93,10.82,5.40,4.39,0.03,2962,40,171,28,5,5
796,I,wellwater,7,CIP398098.119,LM06092013,1.00,1.00,1.00,2.00,22.00,19.00,2.00,56.00,3.00,0.77,49.70,107.00,5.00,32.00,2.00,7.36,138.00,44.00,164.00,5.00,1.00,36.60,7.82,3.00,5.00,37.20,8.03,72.95,21.21,-2.77,158.00,177.64,14.07,222.55,16.05,44.55,2.85,251.57,50.34,10.00,0.74,20.01,696.31,83.31,0.60,41.72,9.76,8.54,5.16,9.56,0.80,10919,131,776,40,5,7
797,II,wellwater,7,CIP398098.119,LM06092013,1.00,1.00,1.00,2.00,24.00,20.00,2.00,62.00,5.00,0.78,51.10,110.00,5.00,52.00,2.00,7.51,140.00,43.90,149.00,5.00,1.00,37.80,7.99,3.00,5.00,40.30,8.32,58.57,9.42,-2.47,154.00,311.41,24.46,250.04,19.20,50.29,3.54,311.69,68.89,18.00,1.08,22.10,923.43,116.09,0.59,50.65,11.21,10.35,6.14,11.01,0.77,12296,106,503,40,7,7
799,III,wellwater,7,CIP398098.119,LM06092013,1.00,1.00,1.00,1.00,22.00,14.00,1.00,57.00,3.00,0.82,57.10,99.00,5.00,41.00,1.00,8.22,138.00,41.60,147.00,7.00,1.00,35.80,9.00,3.00,5.00,35.80,9.13,68.54,13.90,-2.50,144.00,273.81,22.04,213.11,16.96,39.84,2.82,305.15,57.22,10.00,1.11,18.75,831.91,99.04,0.58,65.38,11.01,9.00,5.20,10.81,0.78,10765,109,488,35,5,5
800,IV,wellwater,7,CIP398098.119,LM06092013,1.00,1.00,1.00,3.00,28.00,30.00,3.00,65.00,5.00,0.60,52.10,107.00,5.00,48.00,3.00,7.56,136.00,44.70,140.00,5.00,1.00,39.70,7.92,3.00,5.00,38.90,7.39,74.49,29.92,-2.70,141.00,273.64,25.08,208.88,18.17,46.32,3.29,405.55,86.16,20.00,1.17,21.25,934.39,132.70,0.65,,12.30,10.79,7.01,12.10,0.78,8534,64,340,25,5,5
801,IV,drydown,7,CIP398098.119,LM06092013,1.00,1.00,1.00,1.00,23.00,12.00,1.00,59.00,5.00,0.85,54.70,105.00,7.00,41.00,1.00,8.98,137.00,43.10,147.00,7.00,3.00,39.90,8.02,7.00,7.00,43.80,8.24,52.20,,-2.87,147.00,84.68,15.52,101.78,14.02,18.60,3.14,163.91,44.83,10.00,0.90,27.35,368.97,77.51,0.58,,6.97,11.12,6.43,4.35,-0.03,,,,35,7,5
802,V,drydown,7,CIP398098.119,LM06092013,1.00,1.00,1.00,2.00,11.00,17.00,2.00,43.00,3.00,0.68,49.80,89.00,5.00,30.00,2.00,7.30,122.00,47.30,128.00,3.00,3.00,47.20,7.64,5.00,5.00,46.20,7.06,50.79,,-3.17,130.00,103.35,15.06,87.41,10.97,24.44,2.69,160.62,44.54,14.00,1.10,27.73,375.82,73.26,0.61,,5.83,12.57,7.64,3.28,-0.03,2781,38,185,32,5,5
804,V,wellwater,7,CIP398098.119,LM06092013,1.00,1.00,1.00,3.00,15.00,23.00,3.00,50.00,3.00,0.70,47.20,90.00,3.00,35.00,3.00,6.68,128.00,49.00,137.00,5.00,1.00,44.90,7.28,3.00,5.00,45.40,7.66,68.25,25.57,-2.13,139.00,252.56,20.79,171.03,14.22,45.48,2.99,289.72,56.52,13.00,1.21,19.51,758.79,94.52,0.60,78.80,7.89,11.98,7.16,7.69,0.76,8925,94,429,30,5,5
806,I,drydown,8,CIP398190.89,,0.00,1.00,1.00,1.00,6.00,11.00,1.00,46.00,7.00,0.88,58.10,92.00,5.00,35.00,1.00,9.25,123.00,46.40,133.00,7.00,1.00,44.20,9.31,5.00,7.00,41.10,9.76,50.54,,-2.57,132.00,89.92,9.00,128.18,9.84,25.07,2.04,110.42,21.36,5.00,0.76,19.34,353.59,42.24,0.51,,3.57,11.85,5.99,1.17,0.09,3136,74,348,25,3,3
